SAMPLE NO,SITE,AREA,PART,PFOSK (ng/g),Fixed
UPS1R,UPS01,UTB,Root,0.14,0.14
UPS2R,UPS02,UTB,Root,<MDL,0
UPS3R,UPS03,UTB,Root,<MDL,0
UPS4R,UPS04,UTB,Root,"<LOQ, 0.005",0.005
UPS5R,UPS05,UTB,Root,0.35,0.35
UPS6R,UPS06,UTB,Root,"<LOQ, 0.005",0.005
UPS7R,UPS07,UTB,Root,QC NOK,NA
WIP1R,WIP01,WIP,Root,<MDL,0
WIP2R,WIP02,WIP,Root,"<LOQ, 0.005",0.005
WIP3R,WIP03,WIP,Root,<MDL,0
WIP4R,WIP04,WIP,Root,QC NOK,NA
WIP5R,WIP05,WIP,Root,0.33,0.33
WIP6R,WIP06,WIP,Root,"<LOQ, 0.005",0.005
UPS1S,UPS01,UTB,Shoot,<MDL,0
UPS2S,UPS02,UTB,Shoot,<MDL,0
UPS3S,UPS03,UTB,Shoot,0.24,0.24
UPS4S,UPS04,UTB,Shoot,"<LOQ, 0.005",0.005
UPS5S,UPS05,UTB,Shoot,<MDL,0
UPS6S,UPS06,UTB,Shoot,<MDL,0
UPS7S,UPS07,UTB,Shoot,"<LOQ, 0.005",0.005
WIP1S,WIP01,WIP,Shoot,<MDL,0
WIP2S,WIP02,WIP,Shoot,<MDL,0
WIP3S,WIP03,WIP,Shoot,<MDL,0
WIP4S,WIP04,WIP,Shoot,<MDL,0
WIP5S,WIP05,WIP,Shoot,0.13,0.13
WIP6S,WIP06,WIP,Shoot,<MDL,0
