barcode,collNo_Text,collector_Text,collrTeam_Text,family,genus,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,CollDate_Text,Locality,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
299446,286,S. Dickman,,Poaceae,Aristida,226950,null,null,null,TRUE,2425,null,condensata,4929,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal Sabal palmetto hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62777778,W,28.02222222,N,https://cdn.plantatlas.org/img/specimens/USF/299446.jpg
299540,287,S. Dickman,,Poaceae,Aristida,229348,tenuispica,23811,432,TRUE,2473,var.,purpurascens,46620,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal Sabal palmetto hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62777778,W,28.02222222,N,https://cdn.plantatlas.org/img/specimens/USF/299540.jpg
297326,288,S. Dickman,,Cyperaceae,Bulbostylis,193396,null,null,null,TRUE,823,null,stenophylla,8021,5359,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62722222,W,28.02083333,N,https://cdn.plantatlas.org/img/specimens/USF/297326.jpg
297276,298,S. Dickman,,Poaceae,Coleataenia,193397,null,null,null,TRUE,2955,null,longifolia,62566,57498,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal Sabal palmetto hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62777778,W,28.02222222,N,https://cdn.plantatlas.org/img/specimens/USF/297276.jpg
300938,290,S. Dickman,,Euphorbiaceae,Croton,238366,septentrionalis,40246,null,TRUE,2818,var.,glandulosus,33458,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62611111,W,28.01861111,N,https://cdn.plantatlas.org/img/specimens/USF/300938.jpg
297275,291,S. Dickman,,Poaceae,Dichanthelium,193393,null,null,null,TRUE,null,null,ensifolium,1372,19915,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal flatwoods.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62666667,W,28.02,N,https://cdn.plantatlas.org/img/specimens/USF/297275.jpg
297277,292,S. Dickman,,Poaceae,Digitaria,193390,null,null,null,TRUE,2222,null,ciliaris,49458,29507,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal flatwoods.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62833333,W,28.02194444,N,https://cdn.plantatlas.org/img/specimens/USF/297277.jpg
300936,293,S. Dickman,,Poaceae,Echinochloa,238368,null,null,null,TRUE,1903,null,crus-galli,33458,1925,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62638889,W,28.01805556,N,https://cdn.plantatlas.org/img/specimens/USF/300936.jpg
298279,302,S. Dickman,,Poaceae,Echinochloa,212836,null,null,null,TRUE,3786,null,walteri,47761,22917,16-Nov-10,"Double Branch Bay Nature Presereve, Tampa.",Coastal flatwoods.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62722222,W,28.02027778,N,https://cdn.plantatlas.org/img/specimens/USF/298279.jpg
300939,297,S. Dickman,,Asteraceae,Eclipta,238365,null,null,null,TRUE,3677,null,prostrata,33458,33458,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal freshwater wetland.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62722222,W,28.02194444,N,https://cdn.plantatlas.org/img/specimens/USF/300939.jpg
297272,294,S. Dickman,,Cyperaceae,Eleocharis,193395,null,null,null,TRUE,2676,null,albida,62566,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal marsh.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62638889,W,28.01805556,N,https://cdn.plantatlas.org/img/specimens/USF/297272.jpg
301153,301,S. Dickman,,Euphorbiaceae,Euphorbia,238901,null,null,null,TRUE,2778,null,thymifolia,33458,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Fire break.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62694444,W,28.01972222,N,https://cdn.plantatlas.org/img/specimens/USF/301153.jpg
300942,303,S. Dickman,,Cyperaceae,Rhynchospora,238370,null,null,null,TRUE,2961,null,cephalantha,20179,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62694444,W,28.02027778,N,https://cdn.plantatlas.org/img/specimens/USF/300942.jpg
300941,305,S. Dickman,,Cyperaceae,Rhynchospora,238364,null,null,null,TRUE,535,null,fascicularis,38515,63931,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal freshwater wetland.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62416667,W,28.01916667,N,https://cdn.plantatlas.org/img/specimens/USF/300941.jpg
297273,300,S. Dickman,,Cyperaceae,Rhynchospora,193394,null,null,null,TRUE,3007,null,microcarpa,1373,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal freshwater wetlands.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62722222,W,28.02194444,N,https://cdn.plantatlas.org/img/specimens/USF/297273.jpg
300940,304,S. Dickman,,Cyperaceae,Rhynchospora,238367,null,null,null,TRUE,2406,null,plumosa,8021,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62333333,W,28.01805556,N,https://cdn.plantatlas.org/img/specimens/USF/300940.jpg
301152,306,S. Dickman,,Malvaceae,Sida,238902,null,null,null,TRUE,3229,null,elliottii,62568,null,16-Nov-10,"Double Branch Bay Nature Preserve, Tampa.",Coastal hammock.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.6225,W,28.01777778,N,https://cdn.plantatlas.org/img/specimens/USF/301152.jpg
301276,1072,S. Dickman,L. Garcia,Amaranthaceae,Alternanthera,240339,null,null,null,TRUE,1343,null,philoxeroides,36530,20552,5-Nov-15,"Double Branch Creek Preserve, Tamap; island on Rocky Creek.",Spoil island.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.6025,W,27.9825,N,https://cdn.plantatlas.org/img/specimens/USF/301276.jpg
301267,1070,S. Dickman,L. Garcia,Araliaceae,Heptapleurum,240337,null,null,null,TRUE,423,null,actinophyllum,8116,80471,5-Nov-15,"Double Branch Creek Preserve, Tamap; island on Rocky Creek.",Spoil island.,null,null,null,null,null,Several seedlings under shade of Sabal palmetto.,null,null,null,null,FALSE,null,-82.6025,W,27.9825,N,https://cdn.plantatlas.org/img/specimens/USF/301267.jpg
301277,1071,S. Dickman,L. Garcia,Cyperaceae,Rhynchospora,240342,null,null,null,TRUE,2406,null,plumosa,8021,null,5-Nov-15,"Double Branch Creek Preserve, Tamap; island on Rocky Creek.",Spoil island; well-drained sandy soil in full sun.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.59611111,W,27.99166667,N,https://cdn.plantatlas.org/img/specimens/USF/301277.jpg
301270,1069,S. Dickman,L. Garcia,Asteraceae,Sphagneticola,240341,null,null,null,TRUE,1820,null,trilobata,33458,47593,5-Nov-15,"Double Branch Creek Preserve, Tamap; island on Rocky Creek.",Spoil island.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.59833333,W,27.98611111,N,https://cdn.plantatlas.org/img/specimens/USF/301270.jpg
295358,341,J. R. Campbell,S. Dickman,Pteridaceae,Acrostichum,169748,null,null,null,TRUE,2191,null,danaeifolium,31414,null,10-Aug-16,Double Branch Bay Preserve.,Flatwoods - salt marsh ecotone.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.61694444,W,28.01138889,N,https://cdn.plantatlas.org/img/specimens/USF/295358.jpg
296061,327,J. R. Campbell,S. Dickman,Orobanchaceae,Agalinis,178377,grandiflora,2151,45154,TRUE,2948,var.,maritima,48168,48168,10-Aug-16,Double Branch Bay Preserve.,Flatwoods - salt marsh ecotone.,Flower,Fruit,null,null,null,null,null,null,null,null,FALSE,null,-82.615,W,28.01194444,N,https://cdn.plantatlas.org/img/specimens/USF/296061.jpg
