"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"306738","Euphorbiaceae","Acalypha","gracilens","Acalypha gracilens",2008-11-26,"2008","11","null","null","Hernando Co."
"205417","Euphorbiaceae","Acalypha","gracilens","Acalypha gracilens",1962-10-21,"1962","10","28.6333","-82.25","Sumter Co."
"48090","Sapindaceae","Acer","negundo","Acer negundo",1963-06-03,"1963","06","28.6833","-82.2667","Citrus Co."
"120369","Sapindaceae","Acer","rubrum","Acer rubrum",1962-06-19,"1962","06","28.465832","-82.172029","Pasco Co."
"55378","Sapindaceae","Acer","rubrum","Acer rubrum",1962-06-19,"1962","06","28.688879","-82.272868","Citrus Co."
"55470","Asteraceae","Acmella","repens","Acmella repens",1981-09-29,"1981","09","28.688879","-82.272868","Citrus Co."
"104196","Orobanchaceae","Agalinis","fasciculata","Agalinis fasciculata",1980-09-09,"1980","09","28.587772","-82.227588","Hernando Co."
"161055","Asteraceae","Ageratina","jucunda","Ageratina jucunda",1981-11-12,"1981","11","28.55","-82.05","Sumter Co."
"108169","Asteraceae","Ageratina","jucunda","Ageratina jucunda",1976-11-08,"1976","11","28.5","-82.1","Hernando Co."
"302370","Asteraceae","Ageratina","jucunda","Ageratina jucunda",1962-10-21,"1962","10","28.5687","-81.9998","Sumter Co."
"48037","Poaceae","Agrostis","perennans","Agrostis perennans",1955-10-01,"1955","10","null","null","Citrus Co."
"108376","Amaranthaceae","Alternanthera","philoxeroides","Alternanthera philoxeroides",2008-04-03,"2008","04","28.35","-81.8167","Hernando Co."
"264332","Asteraceae","Ambrosia","artemisiifolia","Ambrosia artemisiifolia",1959-09-16,"1959","09","28.835818","-82.330372","Citrus Co."
"150745","Fabaceae","Amorpha","fruticosa","Amorpha fruticosa",1959-05-04,"1959","05","28.35","-81.8167","Sumter Co."
"221090","Fabaceae","Amorpha","fruticosa","Amorpha fruticosa",1962-04-11,"1962","04","28.8667","-82.45","Citrus Co."
"206520","Poaceae","Amphicarpum","muehlenbergianum","Amphicarpum muehlenbergianum",2008-09-26,"2008","09","28.35","-81.8167","Hernando Co."
"162068","Apocynaceae","Amsonia","ciliata","Amsonia ciliata",2000-05-22,"2000","05","28.35","-82.0333","Sumter Co."
"48020","Papaveraceae","Argemone","albiflora","Argemone albiflora",1958-04-29,"1958","04","28.688879","-82.272868","Citrus Co."
"192369","Araceae","Arisaema","dracontium","Arisaema dracontium",1985-04-02,"1985","04","null","null","Citrus Co."
"241847","Araceae","Arisaema","triphyllum","Arisaema triphyllum",2009-02-19,"2009","02","28.5833","-82.2167","Sumter Co."
"216388","Poaceae","Aristida","patula","Aristida patula",2008-09-26,"2008","09","28.45833333","-82.03611111","Sumter Co."
"105126","Asteraceae","Arnoglossum","floridanum","Arnoglossum floridanum",1992-07-07,"1992","07","28.8667","-82.45","Citrus Co."
"227194","Apocynaceae","Asclepias","feayi","Asclepias feayi",1995-07-08,"1995","07","28.865264","-82.038974","Sumter Co."
"104633","Apocynaceae","Asclepias","longifolia","Asclepias longifolia",1980-04-24,"1980","04","30.2333","-84.6667","Citrus Co."
"104728","Apocynaceae","Asclepias","tomentosa","Asclepias tomentosa",2002-05-22,"2002","05","28.587772","-82.227588","Hernando Co."
"190416","Apocynaceae","Asclepias","tomentosa","Asclepias tomentosa",1975-06-14,"1975","06","28.555272","-82.387871","Hernando Co."
"304366","Apocynaceae","Asclepias","tuberosa","Asclepias tuberosa",1992-07-07,"1992","07","28.7999","-82.4269","Citrus Co."
"57408","Polygalaceae","Asemeia","violacea","Asemeia violacea",2008-04-15,"2008","04","28.35","-81.8167","Citrus Co."
"55289","Polygalaceae","Asemeia","violacea","Asemeia violacea",1992-07-07,"1992","07","28.851649","-82.487598","Citrus Co."
"192495","Polygalaceae","Asemeia","violacea","Asemeia violacea",1980-04-23,"1980","04","28.8667","-82.45","Citrus Co."
