barcode,collNo_Text,collector_Text,collrTeam_Text,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LatDecL
306738,s.n.,C. Werner,R. Mears,Hernando Co.,Fabaceae,Acaciella,null,null,253650,null,null,null,FALSE,2125,null,angustissima,Mill.,Britton & Rose,07/05/2023,Annuteliga Unit.,null,"Sunny location on dirt forest road, with Glandularia canadensis, Sagretia minutiflora, and Ilex vomitoria.  Exposed limestone present.",Flower,null,null,null,null,Less than 1 m tall.,null,null,null,null,FALSE,Withlacoochee State Forest,null,null
205417,292,C. vanHoek,S. Petty,Sumter Co.,Euphorbiaceae,Acalypha,null,null,56150,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,07/10/1992,"Withlacoochee State Forest; bordering Withlacoochee River at Hog Island Recreation Area, ca. 2.5 mi. SE of Nobleton. T21S, R21E, Sec. 31.",1996,Edge of woods bordering river.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Croom Widlife Management Area,-82.25,28.6333
253279,2683,J. M. Kunzer,,Polk Co.,Euphorbiaceae,Acalypha,null,null,56074,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,11/26/2008,"Ca. 2 km SSE of FL 471 bridge over the Withlacoochee River, ca. 5.2 km NNE of the junction FL 471 and US 98.",null,Exsiccated floodplain forest.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.04916667,28.295
48090,25449,O. K. Lakela,"J.S. Allen, G.R. Cooley, R. Lassiter, J.A. Lassiter",Citrus Co.,Euphorbiaceae,Acalypha,null,null,56033,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,10/21/1962,"Withlacoochee River, E of Pineola.",1996,"Grassy area; limestone formations, remnants of ancient fern grottoes and primary hammock association of notably large trees, Quercus, Ulmus and Carya spp. over outcrops; Distichum in marshy borders.",Fertile,null,null,null,null,Few.,null,null,null,null,FALSE,null,-82.2667,28.6833
120369,2182,P. Genelle,G. Fleming,Pasco Co.,Euphorbiaceae,Acalypha,null,null,56067,null,null,null,TRUE,3571,null,gracilens,A. Gray,null,08/09/1975,May Place Road.,1996,"White sand; shaded, damp soil.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.172029,28.465832
55378,25916,O. K. Lakela,"R. Lassiter, J.A. Lassiter",Citrus Co.,Sapindaceae,Acer,null,null,17166,null,null,null,TRUE,3408,null,negundo,L.,null,05/06/1963,"Withlacoochee River, E of Pineola.",null,Limestone formations. Remnants of ancient fern grottoes and associations of notably large trees.,null,null,null,null,null,"Trees to 20 ft, tall, ca. 24 in. diameter; frequent, over rocks.",null,null,null,null,FALSE,null,-82.272868,28.688879
55470,26046,O. K. Lakela,"R. Lassiter, J.A. Lassiter",Citrus Co.,Sapindaceae,Acer,null,null,17171,null,null,null,TRUE,3408,null,negundo,L.,null,06/03/1963,"Withlacoochee River, E of Pineola.",null,Limestone formations. Remnants of ancient fern grottoes and associations of notably large trees.,Fruit,null,null,null,null,Large trees with dense foliage and full crowns. Fruits from fallen branch.,null,null,null,null,FALSE,null,-82.272868,28.688879
300778,442,C. F. Caudle,"M.L. Gilbert, M.S. Tisdale",Polk Co.,Sapindaceae,Acer,null,null,238191,null,null,null,TRUE,2120,null,rubrum,L.,null,06/19/1962,Withlacoochee River.,2020,Woods.,null,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,28.35
300773,515,C. F. Caudle,"M.L. Gilbert, M.S. Tisdale",Polk Co.,Sapindaceae,Acer,null,null,238192,null,null,null,TRUE,2120,null,rubrum,L.,null,06/19/1962,Withlacoochee River.,2020,Woods.,null,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,28.35
104196,1704Cr,P. Genelle,G. Fleming,Hernando Co.,Sapindaceae,Acer,null,null,7039,null,null,null,TRUE,2120,null,rubrum,L.,null,01/08/1973,Croom area.,1973,"River edge, low water, sand, Quercus, Juglans [?; not possible], Taxodium, Serenoa.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,28.587772
