TYPE,AREA,CLASS
Marine,30581073113,open water
Improved Pasture,2331945941,agriculture
Transportation,1961585324,developed
"Residential, Low Density",1368104476,developed
Coniferous Plantations,1284526347,forestry
Sandhill,1043712576,woodlands
Lacustrine,853251991.5,open water
Mixed Hardwood-Coniferous,838983977.7,forested
Sand Pine Scrub,816924313.9,woodlands
Mesic Flatwoods,811064430.2,forested
Medium Density Residential,808716846.3,developed
Mixed Wetland Hardwoods,684644774.7,wet forests
Marshes,527093311.8,wetlands
Mixed Hardwood-Coniferous Swamps,520011158.9,forested
High Density Residential ,492052266.9,
Rural Open,457232000.1,
Hydric Hammock,361964107.6,
Basin Swamp,338141751.1,
Cypress,315315938.9,
Specialty Farms,307927409.2,
Salt Marsh,265629475.7,
Floodplain Swamp,256626557.4,
Estuarine,254509877.5,
Commercial and Services,252744001.5,
Natural Lakes and Ponds,250226516,
Unimproved/Woodland Pasture,226624920.1,
High Intensity Urban,224100363.3,
Mixed Scrub-Shrub Wetland,196774121.2,
Urban Open Land,180594646.9,
Isolated Freshwater Swamp,174773158.2,
Successional Hardwood Forest,174586771.6,
Mesic Hammock,167870364.9,
Wet Prairie,160303667.9,
Field Crops,151836301.6,
Artificial Impoundment/Reservoir,142436916.5,
Golf courses,136220575.1,
Floating/Emergent Aquatic Vegetation,133963196.2,
Wet Flatwoods,126717329.5,
Irrigated Row Crops,123107656.9,
Orchards/Groves,118622598.7,
Shrub and Brushland,117845458.3,
Rural Structures,115406942.7,
Upland Hardwood Forest,109148046.9,
Basin Marsh,106306661.8,
Industrial,100138478.5,
Dome Swamp,95552689.76,
Scrub,87649019.26,
Hydric Pine Flatwoods,85036126.65,
Rural Open Forested,84945414.97,
Utilities,84362607.27,
Extractive,79491470.81,
Citrus,78367038.16,
Xeric Hammock,66405327.63,
Isolated Freshwater Marsh,65398557.26,
Baygall,55390671,
Scrubby Flatwoods,55037799.31,
Depression Marsh,53856314.35,
Riverine,48291630.63,
Cypress/Tupelo (including mixed Cypress/Tupelo),47712239.75,
Natural Rivers and Streams,45303243.15,
Row Crops,44794715.58,
Cultural - Lacustrine,44302341.23,
Floodplain Marsh,40976265.72,
Institutional,37650438.1,
Ornamentals,36994186.89,
Wet Confierous Plantations,36585826.47,
Upland Coniferous,36068207.53,
Urban Open Forested,34786180.23,
Bay Swamp,32770847.96,
Vineyard and Nurseries,30758432.98,
Low Intensity Urban,30464179.05,
Other Coniferous Wetlands,28980347.84,
Cultural - Palustrine,27769847.16,
Stormwater Treatment Areas,27255251.53,
Bare Soil/Clear Cut,21495616.96,
Mangrove Swamp,19228577.62,
Grazed Wetlands,17453869.54,
Grass,16154456.15,
Rural Open Pine,16042961.1,
Quarry Pond,15651375.01,
Bottomland Forest,15487484.38,
Reclaimed Lands,14987104.03,
Shrub Bog,14864277.17,
Flatwoods/Prairie/Marsh Lake,14019877.65,
Cultural - Riverine,12915987.71,
Tree Nurseries,12734754.31,
Freshwater Non-Forested Wetlands,12177668.38,
Mowed Grass,11262365.09,
Community rec. facilities,10139086.38,
Rock Quarries,9140928.917,
Fallow Cropland,9088330.011,
Sand and Gravel Pits,8997578.591,
Estuarine Ditch/Channel,7455446.489,
Coastal Scrub,7351867.221,
Feeding Operations,7025310.363,
Alluvial Forest,6529144.113,
Fallow Orchards,6422761.114,
Spoil Area,6184553.847,
Parks and Zoos,6080878.651,
Sewage Treatment Pond,5978390.54,
Urban Open Pine,5707487.169,
Other Hardwood Wetlands,5518181.105,
Blackwater Stream,5341957.403,
Maritime Hammock,5147016.473,
Solar Farms,4636379.124,
Industrial Cooling Pond,4369126.002,
Sod Farms,4222582.232,
Artificial/Farm Pond,3999726.754,
River Floodplain Lake/Swamp Lake,3976340.274,
Non-vegetated Wetland,3884292.39,
Upland Mixed Woodland,3849609.561,
Cemeteries,3547186.129,
Cabbage Palm Hammock,3371543.594,
Tidal Flat,3327873.754,
Cultural - Terrestrial,2690653.543,
Communication,2604080.835,
Oyster Bar,2594161.872,
Spring-run Stream,2577342.691,
Upland Pine,2517199.938,
Canal,2379560.213,
Beach Dune,2350464.573,
Palmetto Prairie,2335015.442,
Oak Scrub,1877638.184,
Ballfields,1855668.348,
Cultural - Estuarine,1800656.31,
Sand Beach (Dry),1699310.93,
Vegetative Berm,1687787.596,
Gum Pond,1538141.686,
Aquacultural Ponds,1522290.185,
Sandhill Lake,1511344.87,
Oak - Cabbage Palm Forests,1291524.903,
Highway Rights of Way,1251229.469,
Cabbage Palm,1217592.195,
Live Oak,1097440.597,
Unconsolidated Substrate,959125.0786,
Strip Mines,800091.7319,
Cypress/Hardwood Swamps,681991.8021,
Non-vegetated,642391.9234,
Cabbage Palm Flatwoods,570942.039,
Salt Flat,511649.4899,
Other Agriculture,404101.1925,
Coastal Strand,377349.4854,
Titi Swamp,376611.8038,
Exotic Plants,325481.6324,
Cypress/Pine/Cabbage Palm,302485.7538,
Mixed Hardwoods,266169.2278,
Ditch/Artificial Intermittent Stream,236010.9681,
Pine - Mesic Oak,216949.0908,
Other Open Lands - Rural,214748.4563,
Tidally-influenced Stream,209416.4068,
Clastic Upland Lake,154533.6266,
Sinkhole,140105.4277,
Sinkhole Lake,115738.1235,
Coastal Uplands,113594.6186,
Pond Pine,112083.2918,
Prairie Mesic Hammock,101441.6452,
Hardwood Plantations,98382.41113,
Rails,95582.34124,
Brazilian Pepper,92025.05675,
Abandoned Mining Lands,78866.91609,
Roads,54461.06908,
South Florida Bayhead,53653.32843,
Seepage Slope,44788.1944,
Sawgrass,38099.89514,
Freshwater Tidal Marsh,36621.67844,
Major Springs,32214.04259,
Dry Upland Hardwood Forest,32038.79796,
Slough,25542.98279,
Melaleuca,21853.66724,
Hydric Pine Savanna,17405.3629,
Impounded Marsh,16895.87603,
Shell Mound,16459.71222,
Seepage Stream,16317.89743,
Fruit Orchards,14541.22857,
Subtidal,9162.974632,
Pecan,8666.984184,
Duck Weed,6029.994696,
Sand,5030.604164,
Coastal Hydric Hammock,3455.788236,
Coastal Berm,2520.248973,
Australian Pine,1990.991845,
Other Shrubs and Brush,450.3677266,
