Project,Country,Lat,Long,N Samples
Bargny,Senegal,14.7,-17.2,60
Lusengo,Democratic Republic of the Congo,1.80466,19.400768,140
LaSoye,Dominica,15.585483,-61.321678,68
Monte Sierpe,Peru,-13.712508,-75.8751,58
Anyama,Ivory Coast,5.515,-4.06,16
Gede,Kenya,-3.3,40.01,40
"Ossabaw Island, GA",U.S.,31.76,-81.1,44
Gamo Highlands,Ethiopia,6.35,37.12,48
Imbonga,Democratic Republic of the Congo,-0.856693,19.808078,48
Lac Guiers,Senegal,16.22,-15.84,114
Guaimoreto Lagoon,Honduras,15.96,-85.85,98
Alabama Soil Atlas,U.S.,32.28,-86.89,8
"Caguitas, Puerto Rico",U.S.,18.23,-66.09,63
Doghaba,Ghana,7.93,-1.02,24
Bosland,Botswana,-22.02,26.72,20
Lake Tulane,U.S.,27.58,-81.5,49
Ngaoundaba,Cameroon,7.135724,13.689754,48
Mai Ndombe,Democratic Republic of the Congo,-1.972768,18.281984,36
